Country/Region,Population
US,331198130
Brazil,212710692
India,1381344997
Russia,145940924
South Africa,59381566
Mexico,129066160
Peru,33016319
Chile,19132514
Colombia,50936262
Spain,46756648
Iran,84097623
United Kingdom,67922029
Saudi Arabia,34865919
Pakistan,221295851
Bangladesh,164851401
Italy,60452568
Turkey,84428331
Argentina,45236884
Germany,83811260
France,65288306
Iraq,40306025
Philippines,109722719
Indonesia,273808365
Canada,37775022
Qatar,2807805
Kazakhstan,18798667
Egypt,102516525
Ecuador,17668824
Bolivia,11688459
Sweden,10105596
Oman,5118446
Israel,9197590
Ukraine,43705858
Dominican Republic,10858648
Panama,4321282
Belgium,11594739
Kuwait,4276658
Belarus,9449001
United Arab Emirates,9902079
Romania,19224023
Netherlands,17138756
Singapore,5854932
Guatemala,17946899
Portugal,10193593
Poland,37842302
Nigeria,206606300
Honduras,9919704
Bahrain,1706669
Japan,126435859
Armenia,2963811
Ghana,31133483
Kyrgyzstan,6534479
Afghanistan,39009447
Switzerland,8660952
Algeria,43926079
Azerbaijan,10148243
Morocco,36953359
Uzbekistan,33516027
Serbia,8733665
Moldova,4032983
Ireland,4943200
Kenya,53881160
Venezuela,28427499
Nepal,29186486
Austria,9011577
Costa Rica,5098730
Ethiopia,115223736
Australia,25528864
El Salvador,6489514
Czechia,10711019
Cameroon,26606188
Cote d'Ivoire,26437950
South Korea,51273732
Denmark,5794279
West Bank and Gaza,5112340
Bosnia and Herzegovina,3278650
Bulgaria,6942854
Madagascar,27755708
Sudan,43943536
North Macedonia,2083365
Senegal,16783877
Norway,5425471
Congo (Kinshasa),89802183
Malaysia,32406372
French Guiana,299385
Gabon,2230563
Tajikistan,9557468
Guinea,13164905
Haiti,11416103
Finland,5541604
Zambia,18430129
Luxembourg,626952
Mauritania,4660728
Paraguay,7141091
Albania,2877470
Lebanon,6822220
Croatia,4102577
Djibouti,989387
Greece,10417673
Libya,6880353
Equatorial Guinea,1407001
Maldives,541448
Central African Republic,4837752
Hungary,9657785
Malawi,19174839
Zimbabwe,14883803
Nicaragua,6632263
Hong Kong,7503041
Congo (Brazzaville),5530506
Montenegro,628074
Thailand,69817894
Somalia,15933012
Mayotte,273419
Eswatini,1161348
Sri Lanka,21422362
Cuba,11325899
Cabo Verde,556581
Namibia,2545264
Mali,20302901
Slovakia,5459915
South Sudan,11206572
Slovenia,2078968
Lithuania,2718121
Estonia,1326627
Mozambique,31333962
Rwanda,12981546
Suriname,587154
Guinea-Bissau,1972277
Benin,12151976
Iceland,341465
Sierra Leone,7992169
Yemen,29886897
Tunisia,11830801
New Zealand,5002100
Angola,32956300
Uruguay,3474956
Latvia,1883936
Jordan,10213138
Liberia,5068618
Uganda,45867852
Cyprus,1208238
Georgia,3988368
Burkina Faso,20954852
Niger,24281433
Togo,8296582
Syria,17539600
Jamaica,2962478
Malta,441663
Andorra,77278
Chad,16467965
Gambia,2422754
Sao Tome and Principe,219544
Botswana,2356075
Bahamas,393616
Vietnam,97425470
Lesotho,2143943
Diamond Princess,NA
San Marino,33938
Réunion,895952
Channel Islands,174022
Guyana,786936
Tanzania,59886383
Taiwan,23821199
Comoros,871326
Burundi,11922216
Burma,54446389
Mauritius,1271985
Isle of Man,85078
Mongolia,3283344
Eritrea,3551175
Guadeloupe,400131
Martinique,375235
Faeroe Islands,48882
Aruba,106812
Cambodia,16741375
Trinidad and Tobago,1399950
Cayman Islands,65798
Gibraltar,33690
Papua New Guinea,8963009
Sint Maarten,42924
Bermuda,62254
Brunei ,437893
Barbados,287411
Turks and Caicos,38768
Seychelles,98408
Monaco,39270
Bhutan,772443
Antigua and Barbuda,98010
Liechtenstein,38139
Belize,398312
French Polynesia,281072
Saint Vincent and the Grenadines,110976
Saint Martin,38729
Macao,650193
Curaçao,164161
Fiji,897095
Saint Lucia,183712
Timor-Leste,1320812
Grenada,112576
New Caledonia,285769
Laos,7285750
Dominica,72004
Saint Kitts and Nevis,53237
Greenland,56780
Montserrat,4992
Caribbean Netherlands,26247
Falkland Islands,3489
Holy See,801
Western Sahara,598682
China,1398000000
Kosovo,1810000
